K,n_true,n,rho,umbral_bf,p_any,p_true
20,1,160,0.5,6,1.0,1.0
20,1,160,0.5,10,0.99975,0.99975
5,1,40,0.0,4,0.04075,
5,1,40,0.0,6,0.02625,
5,1,40,0.0,10,0.015,
5,1,40,0.3,4,0.22,0.19475
5,1,40,0.3,6,0.1675,0.15125
5,1,40,0.3,10,0.1245,0.11475
5,1,40,0.4,4,0.43825,0.423
5,1,40,0.4,6,0.3675,0.35675
5,1,40,0.4,10,0.29575,0.289
5,1,50,0.0,4,0.033,
5,1,50,0.0,6,0.0235,
5,1,50,0.0,10,0.0145,
5,1,50,0.3,4,0.2845,0.267
5,1,50,0.3,6,0.2315,0.22
5,1,50,0.3,10,0.17325,0.16475
5,1,50,0.4,4,0.55625,0.543
5,1,50,0.4,6,0.4975,0.487
5,1,50,0.4,10,0.43,0.4245
5,1,60,0.0,4,0.0325,
5,1,60,0.0,6,0.02175,
5,1,60,0.0,10,0.0135,
5,1,60,0.3,4,0.35275,0.33525
5,1,60,0.3,6,0.291,0.279
5,1,60,0.3,10,0.23325,0.228
5,1,60,0.4,4,0.677,0.669
5,1,60,0.4,6,0.61875,0.6135
5,1,60,0.4,10,0.54425,0.5405
5,1,72,0.0,4,0.02475,
5,1,72,0.0,6,0.015,
5,1,72,0.0,10,0.0095,
5,1,72,0.3,4,0.43425,0.4185
5,1,72,0.3,6,0.36775,0.357
5,1,72,0.3,10,0.30425,0.2975
5,1,72,0.4,4,0.7605,0.754
5,1,72,0.4,6,0.712,0.70675
5,1,72,0.4,10,0.644,0.6405
5,1,85,0.0,4,0.028,
5,1,85,0.0,6,0.01875,
5,1,85,0.0,10,0.01275,
5,1,85,0.3,4,0.50225,0.48825
5,1,85,0.3,6,0.4445,0.434
5,1,85,0.3,10,0.371,0.364
5,1,85,0.4,4,0.85475,0.852
5,1,85,0.4,6,0.81875,0.81625
5,1,85,0.4,10,0.76425,0.76275
5,1,100,0.0,4,0.02525,
5,1,100,0.0,6,0.0165,
5,1,100,0.0,10,0.00825,
