n,rho,p_bf3,p_bf3_dir,p_bf6,p_bf6_dir,p_bf10,p_bf10_dir,p_nulo,bf_mediano
70,0.3,0.4486,0.561,0.3524,0.4443,0.2871,0.3756,0.1727,2.22624548326279
70,0.4,0.7881,0.8582,0.7059,0.7862,0.6436,0.7243,0.0328,31.41811760318099
70,0.5,0.9656,0.981,0.9411,0.9653,0.9162,0.9483,0.0015,1388.918651700379
75,0.0,0.0098,0.0095,0.005,0.0054,0.0026,0.003,0.8911,0.11349214000349513
75,0.1,0.0376,0.0644,0.0209,0.0368,0.014,0.0243,0.7703,0.14446878178384945
75,0.2,0.1729,0.2497,0.1164,0.1713,0.0856,0.1309,0.4547,0.4011701567744334
75,0.3,0.4671,0.5815,0.3667,0.4632,0.3031,0.3895,0.1605,2.4395498578195522
75,0.4,0.8236,0.8846,0.7475,0.8219,0.6867,0.7687,0.0258,45.818466443556886
75,0.5,0.9741,0.9869,0.9562,0.9738,0.9375,0.962,0.0013,2678.6914342261725
80,0.0,0.0084,0.0085,0.0039,0.0035,0.0025,0.0019,0.8903,0.11115885278894819
80,0.1,0.0384,0.0651,0.0217,0.0378,0.0147,0.0241,0.7667,0.14011556293312916
80,0.2,0.1865,0.265,0.1248,0.1833,0.0902,0.1365,0.4426,0.4232863398863571
80,0.3,0.5032,0.6067,0.4063,0.499,0.3403,0.425,0.1455,3.068794766330301
80,0.4,0.8487,0.9043,0.7831,0.8458,0.727,0.7972,0.0195,71.53356683462424
80,0.5,0.9813,0.9905,0.9663,0.9809,0.9527,0.9706,0.0009,5565.089090918041
85,0.0,0.0072,0.0072,0.0034,0.0033,0.0021,0.0023,0.9045,0.10735993969372204
85,0.1,0.0375,0.0651,0.0203,0.0365,0.0131,0.0241,0.7672,0.1385507336514763
85,0.2,0.1951,0.2837,0.1304,0.1923,0.0993,0.1435,0.425,0.4617409829632852
85,0.3,0.5415,0.6477,0.4445,0.5385,0.3756,0.4689,0.1265,4.006371705795473
85,0.4,0.8669,0.9164,0.8055,0.8648,0.7525,0.8215,0.0171,92.39127364143222
85,0.5,0.9884,0.9946,0.9788,0.9883,0.9657,0.9817,0.0004,10758.63953742754
90,0.0,0.0075,0.0068,0.0036,0.0033,0.002,0.0021,0.8991,0.10620053099387662
90,0.1,0.0439,0.0716,0.0242,0.0424,0.0152,0.0293,0.7639,0.13517538571042179
90,0.2,0.2147,0.2982,0.1499,0.2105,0.1101,0.1647,0.4144,0.4908853450246423
90,0.3,0.5822,0.6816,0.4807,0.5764,0.4083,0.507,0.1087,5.261835930243529
90,0.4,0.8927,0.9317,0.8401,0.8905,0.7915,0.8566,0.0136,160.30706496273615
90,0.5,0.993,0.9963,0.9833,0.9924,0.9744,0.9871,0.0006,19886.683871094825
95,0.0,0.007,0.0083,0.0035,0.0035,0.0019,0.002,0.9114,0.10219437554343783
95,0.1,0.0411,0.071,0.0233,0.0393,0.0151,0.0261,0.7675,0.13678228716973753
95,0.2,0.2245,0.3137,0.1561,0.2203,0.119,0.1717,0.3945,0.5410931213307058
95,0.3,0.6002,0.6931,0.4981,0.5938,0.4296,0.5203,0.1064,5.872401898515498
95,0.4,0.9128,0.9463,0.8663,0.9095,0.8256,0.8773,0.009,237.1942483334062
95,0.5,0.9954,0.9977,0.9898,0.9952,0.9845,0.9915,0.0003,41661.9603606354
100,0.0,0.0067,0.0072,0.0024,0.0036,0.0015,0.0017,0.9129,0.09929868165227879
100,0.1,0.0399,0.0701,0.0222,0.0393,0.0137,0.0254,0.7633,0.13432825736143472
100,0.2,0.233,0.3258,0.1698,0.2304,0.1285,0.1837,0.386,0.5706476296908338
100,0.3,0.6279,0.7235,0.5282,0.6245,0.4619,0.5504,0.0901,7.473899555139674
100,0.4,0.9303,0.9596,0.8894,0.9286,0.8475,0.9002,0.0072,357.3139293816448
100,0.5,0.9957,0.998,0.9914,0.9954,0.9866,0.9924,0.0002,83531.15371999078
105,0.0,0.0062,0.0062,0.0022,0.0029,0.0012,0.001,0.9099,0.09757732393753504
105,0.1,0.0428,0.0718,0.0256,0.0412,0.0173,0.0279,0.761,0.13550945504865408
105,0.2,0.2535,0.3396,0.1794,0.2497,0.1354,0.1935,0.3698,0.6078994607625782
105,0.3,0.65,0.7417,0.5532,0.6447,0.4848,0.5736,0.0795,8.946929713618664
105,0.4,0.9374,0.9636,0.9015,0.9355,0.8709,0.9099,0.0055,511.6003310363101
105,0.5,0.9982,0.9992,0.9951,0.998,0.9901,0.9954,0.0002,163045.30666951192
110,0.0,0.0071,0.0064,0.0028,0.0028,0.0016,0.0016,0.914,0.09587564403283366
110,0.1,0.0441,0.0754,0.0259,0.0431,0.0163,0.0295,0.7517,0.13347126975021437
110,0.2,0.2646,0.3543,0.1944,0.2605,0.1505,0.2098,0.3622,0.6638722285125496
110,0.3,0.6795,0.7674,0.5861,0.6753,0.5191,0.6104,0.0741,11.659912505208574
110,0.4,0.9488,0.9705,0.9174,0.9477,0.8911,0.9262,0.0046,840.1280115964696
110,0.5,0.9979,0.9992,0.9955,0.9978,0.993,0.9961,0.0001,356013.7153851089
115,0.0,0.007,0.007,0.0031,0.004,0.0013,0.0023,0.9192,0.09210964928301167
115,0.1,0.0496,0.0778,0.0288,0.049,0.0191,0.0329,0.7471,0.13398380837490925
115,0.2,0.2729,0.365,0.2008,0.2696,0.1546,0.2146,0.3444,0.7108550040609197
115,0.3,0.7111,0.7888,0.6152,0.7081,0.5492,0.6373,0.064,14.04566616116452
115,0.4,0.9587,0.9763,0.9342,0.9578,0.907,0.939,0.0029,1119.3038510496028
115,0.5,0.9987,0.9993,0.997,0.9987,0.995,0.9974,0.0,687195.1336774885
120,0.0,0.0056,0.0071,0.0022,0.0032,0.0016,0.0021,0.9183,0.09188697150353249
120,0.1,0.0488,0.0784,0.0291,0.0483,0.0196,0.0332,0.7438,0.1372765894022354
120,0.2,0.2923,0.3831,0.2136,0.2915,0.1648,0.2326,0.3272,0.7979506465717505
120,0.3,0.7309,0.8107,0.6425,0.7298,0.5781,0.6658,0.0544,18.543460253151977
120,0.4,0.9619,0.9783,0.9374,0.9617,0.916,0.9441,0.0031,1749.2586448141685
120,0.5,0.9988,0.9996,0.9976,0.9988,0.9964,0.9981,0.0,1342857.542772238
125,0.0,0.0074,0.0077,0.0041,0.0039,0.0024,0.0023,0.9213,0.08993535920028356
125,0.1,0.0527,0.0838,0.0303,0.0517,0.0195,0.0335,0.7366,0.13719743156475922
125,0.2,0.3073,0.3997,0.2262,0.3054,0.1824,0.2421,0.3231,0.8302119156772925
125,0.3,0.7437,0.8196,0.6552,0.7411,0.5888,0.6734,0.0538,20.84562273059126
125,0.4,0.9711,0.9857,0.9505,0.9707,0.9294,0.9565,0.0019,2876.1579851692354
125,0.5,0.9999,1.0,0.9995,0.9999,0.9979,0.9997,0.0,2407540.5164670465
130,0.0,0.0064,0.0069,0.0028,0.0033,0.0017,0.002,0.922,0.08762147630695115
130,0.1,0.0494,0.0816,0.0303,0.0483,0.0201,0.0341,0.7499,0.13297033771753708
130,0.2,0.3044,0.3995,0.2238,0.3013,0.1755,0.2434,0.3162,0.8672439799322744
130,0.3,0.7627,0.8342,0.6839,0.7603,0.6217,0.7046,0.0471,27.640515023229273
130,0.4,0.977,0.9873,0.9604,0.9765,0.9433,0.9653,0.0023,4171.823772695233
130,0.5,0.9996,0.9999,0.9994,0.9996,0.9991,0.9994,0.0,5618776.353593964
135,0.0,0.0066,0.007,0.0024,0.0038,0.0011,0.002,0.926,0.08572683771948796
135,0.1,0.055,0.0883,0.033,0.054,0.0233,0.0378,0.7353,0.13320240103182243
135,0.2,0.3233,0.4257,0.2381,0.3198,0.1922,0.2576,0.2998,0.9905644392053083
135,0.3,0.7819,0.8511,0.7034,0.7795,0.6396,0.7251,0.0396,32.52384413448729
135,0.4,0.9802,0.9901,0.9663,0.9797,0.9522,0.9699,0.0009,5781.89234961937
135,0.5,0.9998,0.9999,0.9993,0.9998,0.999,0.9995,0.0,11072045.613453615
140,0.0,0.0047,0.005,0.0021,0.0021,0.0012,0.0012,0.9242,0.08438115950039167
140,0.1,0.0559,0.0881,0.0306,0.0549,0.0217,0.0355,0.7343,0.13792569985206268
140,0.2,0.3439,0.4374,0.2594,0.3414,0.2009,0.2774,0.2821,1.079962351197487
140,0.3,0.7978,0.8633,0.7217,0.7961,0.6616,0.739,0.0344,39.19571483202257
140,0.4,0.9858,0.9937,0.973,0.9856,0.9624,0.9771,0.0004,9451.495926528774
140,0.5,0.9998,1.0,0.9996,0.9998,0.9994,0.9996,0.0,19476909.923996273
145,0.0,0.0059,0.005,0.002,0.0025,0.0015,0.0013,0.927,0.08198239592537898
145,0.1,0.0589,0.0912,0.0364,0.057,0.0253,0.0414,0.7284,0.13560531686166097
145,0.2,0.3553,0.4557,0.2692,0.3493,0.2192,0.2891,0.2713,1.1769938934441309
145,0.3,0.8168,0.8716,0.7418,0.8121,0.6853,0.7604,0.0337,47.77166749432453
145,0.4,0.9896,0.9956,0.9788,0.9888,0.9669,0.9827,0.0008,13671.76055703188
145,0.5,0.9999,1.0,0.9999,0.9999,0.9999,0.9999,0.0,47852178.77399469
150,0.0,0.0062,0.0061,0.0029,0.0028,0.0018,0.0016,0.9308,0.08160096055873226
150,0.1,0.0616,0.096,0.0358,0.0601,0.0242,0.0398,0.7265,0.135701532270962
150,0.2,0.3791,0.4757,0.2917,0.375,0.2302,0.3073,0.2583,1.2901110629469539
150,0.3,0.8334,0.887,0.7643,0.8311,0.7135,0.7797,0.0257,63.65909093790916
150,0.4,0.9896,0.995,0.981,0.9896,0.9727,0.9839,0.0005,22176.05250927267
150,0.5,1.0,1.0,1.0,1.0,0.9998,1.0,0.0,98773659.67974778
155,0.0,0.0065,0.0057,0.002,0.0028,0.0008,0.0011,0.9312,0.08005804555232458
155,0.1,0.0641,0.1006,0.0377,0.0617,0.0252,0.0434,0.7154,0.14134726097097733
155,0.2,0.3811,0.4825,0.2928,0.3733,0.2442,0.3111,0.2559,1.3804616850272178
155,0.3,0.8439,0.8945,0.7804,0.8398,0.7321,0.7976,0.0231,81.51147643400132
155,0.4,0.9903,0.9954,0.985,0.9902,0.9763,0.9868,0.0004,33464.87058820979
155,0.5,0.9999,1.0,0.9998,0.9999,0.9998,0.9998,0.0,144702989.79694963
160,0.0,0.006,0.0063,0.0026,0.003,0.0017,0.0014,0.9299,0.07837722827262604
160,0.1,0.0597,0.0951,0.0372,0.0593,0.0265,0.0402,0.7239,0.13918081647283922
160,0.2,0.4033,0.509,0.3142,0.4013,0.2594,0.3281,0.2346,1.6157520341863028
160,0.3,0.8612,0.913,0.8033,0.8606,0.7532,0.8175,0.0212,100.26677415141727
160,0.4,0.9928,0.997,0.9877,0.9926,0.9807,0.9889,0.0006,48479.37497650596
160,0.5,0.9999,1.0,0.9999,0.9999,0.9999,0.9999,0.0,360518031.4656419
165,0.0,0.005,0.0054,0.0021,0.0024,0.0012,0.0013,0.9333,0.07791938884015231
165,0.1,0.063,0.1037,0.0392,0.0621,0.0275,0.0434,0.7089,0.14353408387283173
165,0.2,0.4148,0.5124,0.3196,0.4104,0.263,0.3405,0.2284,1.6685948943983815
165,0.3,0.8712,0.9167,0.8142,0.8686,0.7653,0.8284,0.0191,123.35181805594424
165,0.4,0.9949,0.9978,0.9893,0.9947,0.9834,0.9915,0.0004,67706.48726605199
165,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,677122687.224571
170,0.0,0.0039,0.0047,0.0018,0.0016,0.001,0.0009,0.9327,0.07709343711820096
170,0.1,0.0678,0.1045,0.0398,0.0659,0.0275,0.0445,0.7025,0.14241146405303828
170,0.2,0.4194,0.5212,0.3288,0.4155,0.2712,0.3465,0.2176,1.7564643290121733
170,0.3,0.8782,0.9219,0.8208,0.8755,0.7763,0.8339,0.0179,140.68574416050245
