K,N,R2,r2hat_medio,power_bf4,power_bf6,power_bf10
14,60,0.25,0.4211614206565448,0.3345,0.28825,0.24
14,72,0.0,0.19862734200215895,0.003,0.0025,0.00175
14,72,0.04,0.22927756105275537,0.0145,0.011,0.00725
14,72,0.09,0.2686802082768926,0.0495,0.03875,0.02825
14,72,0.16,0.32355200499902115,0.1755,0.14525,0.11475
14,72,0.25,0.3917945005150231,0.44675,0.3985,0.3415
14,100,0.0,0.14131592271152107,0.00125,0.0005,0.0005
14,100,0.04,0.17471034540148034,0.0185,0.013,0.00825
14,100,0.09,0.21478804305144358,0.074,0.0635,0.04625
14,100,0.16,0.27568340833842153,0.29275,0.2565,0.212
14,100,0.25,0.3501302802693707,0.688,0.65025,0.5975
14,150,0.0,0.09446806938866448,0.0005,0.0005,0.00025
14,150,0.04,0.12968643154988507,0.023,0.01775,0.0115
14,150,0.09,0.17454688928604975,0.14125,0.1225,0.1
14,150,0.16,0.2369408754228527,0.5475,0.504,0.456
14,150,0.25,0.3161930543673185,0.92825,0.91525,0.891
14,200,0.0,0.0700951886462726,0.001,0.00075,0.0005
14,200,0.04,0.10791163086145218,0.02775,0.02275,0.01475
14,200,0.09,0.15207866007748624,0.224,0.19525,0.16625
14,200,0.16,0.2161173531913773,0.752,0.722,0.684
14,200,0.25,0.3003272525632591,0.98925,0.98775,0.9845
14,250,0.0,0.05598070260695318,0.0,0.0,0.0
14,250,0.04,0.09401112703305281,0.0345,0.02675,0.02125
14,250,0.09,0.13980705438719207,0.34025,0.311,0.27275
14,250,0.16,0.2044217507410821,0.884,0.862,0.836
14,250,0.25,0.2900826554548712,0.9985,0.99825,0.9975
14,300,0.0,0.046890661839725255,0.0,0.0,0.0
14,300,0.04,0.08502778097841102,0.053,0.047,0.03775
14,300,0.09,0.13088212156862283,0.4505,0.41575,0.375
14,300,0.16,0.19754609984486862,0.94975,0.941,0.93025
14,300,0.25,0.28249949899575477,1.0,1.0,0.99975
20,50,0.0,0.40734285113721397,0.00775,0.0045,0.0025
20,50,0.04,0.4306822711451526,0.012,0.009,0.00725
20,50,0.09,0.4571613674337033,0.026,0.01925,0.01175
20,50,0.16,0.498242256706592,0.05575,0.04275,0.0295
20,50,0.25,0.5540130661132676,0.14625,0.11875,0.0825
20,60,0.0,0.33769169782713043,0.00475,0.0035,0.00225
20,60,0.04,0.3636792580661231,0.008,0.00575,0.0045
20,60,0.09,0.3979886801640192,0.02725,0.0205,0.0145
20,60,0.16,0.44040947431444816,0.071,0.05275,0.0375
20,60,0.25,0.5006783113784976,0.2065,0.169,0.133
20,72,0.0,0.2815250541565057,0.003,0.0025,0.00125
20,72,0.04,0.31100142436631795,0.01025,0.00675,0.004
20,72,0.09,0.3441649577978691,0.027,0.01975,0.0135
20,72,0.16,0.39550923475398486,0.1025,0.0805,0.05975
20,72,0.25,0.45409275599747967,0.2765,0.2395,0.19875
20,100,0.0,0.20274187249576395,0.00125,0.00075,0.00025
20,100,0.04,0.23344284293879553,0.00875,0.00575,0.0025
20,100,0.09,0.2725049775783715,0.03825,0.029,0.0225
20,100,0.16,0.3250495879034339,0.157,0.13375,0.10825
20,100,0.25,0.3974132071305868,0.49875,0.4535,0.407
20,150,0.0,0.13510417523040796,0.0,0.0,0.0
20,150,0.04,0.1697064665080721,0.009,0.0075,0.0055
20,150,0.09,0.21227492287264835,0.07375,0.0635,0.04825
20,150,0.16,0.2707114433603907,0.35025,0.31425,0.27275
20,150,0.25,0.34639475847908524,0.8125,0.79175,0.757
20,200,0.0,0.10064327070841234,0.00025,0.00025,0.00025
20,200,0.04,0.13492733715296704,0.00825,0.00525,0.00375
20,200,0.09,0.1800280699019258,0.10825,0.094,0.078
20,200,0.16,0.2429923541694781,0.566,0.52975,0.48625
20,200,0.25,0.3234935297997805,0.9605,0.95025,0.9355
20,250,0.0,0.08011814708806576,0.0,0.0,0.0
20,250,0.04,0.11648908280157441,0.0125,0.0105,0.009
20,250,0.09,0.16198183168106436,0.17425,0.15775,0.13325
20,250,0.16,0.2266836751336105,0.732,0.7085,0.67875
20,250,0.25,0.3078983221283081,0.995,0.9925,0.989
20,300,0.0,0.06713425333238349,0.0,0.0,0.0
20,300,0.04,0.10332412671693697,0.014,0.01175,0.008
20,300,0.09,0.14993811299275245,0.261,0.23025,0.20075
20,300,0.16,0.213734439018619,0.8595,0.8445,0.81925
20,300,0.25,0.29757152289906025,0.999,0.99875,0.99825
