n_por_grupo,d,p_bf3,p_bf6,p_bf10,p_nulo
10,0.0,0.021596151634661023,0.008192104001373435,0.004124974278528743,0.0
10,0.5,0.1044038521348312,0.05168327220722747,0.03071488896685543,0.0
10,0.65,0.1715934303549909,0.0923417622804612,0.0578488410399285,0.0
10,0.8,0.26179338593950724,0.1529474428908991,0.10100977491238461,0.0
10,1.0,0.4111956227021,0.26732522764878186,0.18937306099265383,0.0
12,0.0,0.021105722853634015,0.00814183404007739,0.004139797091278846,0.0
12,0.5,0.12453860049838761,0.06488318982528815,0.039908820551956714,0.0
12,0.65,0.20937942952871647,0.11955207264264438,0.07801466510555491,0.0
12,0.8,0.32134099931042537,0.20063044360613533,0.13884088845168094,0.0
12,1.0,0.4981500690700664,0.34849302452054837,0.26037101278596203,0.0
14,0.0,0.020649138536508415,0.008074320362624903,0.0041381343650081035,0.0
14,0.5,0.1450779555150509,0.07887821854355648,0.04994540481970517,0.0
14,0.65,0.247561356877215,0.1485019135848717,0.1002921884937747,0.0
14,0.8,0.37970183124145745,0.25042044743104647,0.1801919225563395,0.0
14,1.0,0.5771995855143464,0.42831116815909465,0.33424286947482684,0.0
16,0.0,0.020220289349587153,0.007996205849599137,0.004125474071227016,0.0
16,0.5,0.16594118009310702,0.09359163749732041,0.06077160325138719,0.0
16,0.65,0.2857863067254713,0.17883070856636243,0.12441218315820077,0.0
16,0.8,0.43605177792522404,0.3012428341825702,0.2241212013400407,0.0
16,1.0,0.6474486763606194,0.5042904476778227,0.4081134137444095,0.0
18,0.0,0.01981583788155712,0.007911740565097787,0.004105296615991996,0.23576489689298308
18,0.5,0.18705614986401867,0.10895291764576105,0.0723372689509642,0.07923432781716028
18,0.65,0.32375465375343937,0.21020816458588779,0.15011092179689922,0.03732895450517942
18,0.8,0.48979002050069814,0.35218169721421616,0.269749864076989,0.014447329893151686
18,1.0,0.708729748275769,0.5747707028039456,0.479716672205169,0.00300015210309923
20,0.0,0.019433470943074235,0.00782372050332709,0.0040799258410576505,0.3361659769577432
20,0.5,0.2083562969751825,0.12489566325327423,0.08459377562401542,0.10418616582102538
20,0.65,0.36121197753188733,0.24233166671245765,0.17713172345990588,0.04637021173192547
20,0.8,0.5404999626769651,0.40247244939277815,0.3162785286280373,0.016686671779226572
20,1.0,0.7613618472628735,0.6387777610285778,0.5473870660475149,0.0030645268716733816
22,0.0,0.019071327114869797,0.007734017252216574,0.0040509655860438394,0.4017205337172913
22,0.5,0.2297794336578468,0.14135658494700504,0.09749334164100118,0.11497938584349165
22,0.65,0.3979437716050924,0.2749250587861374,0.20522691684433111,0.048354782876327496
22,0.8,0.5879166401082005,0.45149232227042896,0.3629975499335202,0.01617195981277414
22,1.0,0.8059665363822749,0.6958778027978988,0.6100038835822467,0.002620945313565423
24,0.0,0.01872779470821233,0.007643897248006633,0.004019549253310348,0.45036394976290556
24,0.5,0.2512672737458888,0.1582749888536018,0.11098872960347411,0.11918138524416871
24,0.65,0.43377133904042736,0.30773791340558165,0.23415976523032928,0.0473633627753387
