n,rho_verdadero,beta_verdadero,beta_post_medio,beta_post_sd_entre_datasets,shrinkage,CrI_lo_mediano,CrI_hi_mediano,CrI_ancho_mediano,cobertura_95,P_CrI_excluye_0,P_selecciona_verdadero,beta_max_abs_medio
60,0.3,0.3,0.19400785336696894,0.1100776112434597,0.6466928445565632,-0.017417824431322514,0.4194743014872075,0.4302379535511137,0.8191666666666667,0.37916666666666665,0.5583333333333333,0.2295907883872874
60,0.4,0.4,0.283900961856367,0.12682546707352252,0.7097524046409174,0.04077875399962068,0.5120699904859067,0.4491312376223505,0.7958333333333333,0.6725,0.7966666666666666,0.29710672991101583
60,0.5,0.5,0.3892668498181029,0.12549377177232313,0.7785336996362058,0.15859151929616927,0.6148685090243817,0.44796925876289606,0.8058333333333333,0.9183333333333333,0.9533333333333334,0.3914155970493477
72,0.3,0.3,0.1955608678889772,0.10422257526451277,0.651869559629924,-0.00740915699279867,0.40080957189202315,0.4006469336804004,0.7933333333333333,0.46,0.625,0.22174886028779942
72,0.4,0.4,0.2977485152360932,0.11472434076358007,0.7443712880902329,0.07739080032333731,0.5109545707702638,0.41484860980999666,0.8158333333333333,0.7925,0.8858333333333334,0.30405841255184246
100,0.3,0.3,0.20923966113488265,0.09566520415251473,0.6974655371162756,0.018587709148414434,0.3877622999250889,0.35285594546003274,0.8158333333333333,0.6283333333333333,0.775,0.22055998493046483
134,0.3,0.3,0.21851394261749907,0.0832484877348804,0.728379808724997,0.05394148835912346,0.3755047965794802,0.3146284803748131,0.8033333333333333,0.7733333333333333,0.8866666666666667,0.22280659426906954
141,0.3,0.3,0.2182931490837737,0.08428259579212175,0.7276438302792457,0.056687180697917935,0.37145117633044733,0.30551563778426505,0.8,0.8025,0.9083333333333333,0.22247319864442286
