K,N,n_por_grupo,D,R2,d_h,power_bf4,power_bf6,power_bf10
5,320,160,1.0,0.2,0.0,1.0,1.0,1.0
10,40,20,0.0,0.0,0.0,0.01175,0.00625,0.003
10,40,20,0.5,0.058823529411764705,0.0,0.026,0.018,0.0115
10,40,20,0.65,0.09553420011305823,0.0,0.04325,0.03125,0.01875
10,40,20,0.7,0.10913140311804007,0.0,0.052,0.0375,0.02275
10,40,20,0.8,0.13793103448275862,0.0,0.08075,0.06,0.0425
10,40,20,1.0,0.2,0.0,0.154,0.1185,0.08525
10,48,24,0.0,0.0,0.0,0.0055,0.00375,0.00225
10,48,24,0.5,0.058823529411764705,0.0,0.02875,0.01775,0.0105
10,48,24,0.65,0.09553420011305823,0.0,0.05175,0.0385,0.02575
10,48,24,0.7,0.10913140311804007,0.0,0.07025,0.052,0.0345
10,48,24,0.8,0.13793103448275862,0.0,0.09775,0.07375,0.05175
10,48,24,1.0,0.2,0.0,0.20375,0.16175,0.1165
10,60,30,0.0,0.0,0.0,0.00675,0.004,0.00225
10,60,30,0.5,0.058823529411764705,0.0,0.03175,0.0235,0.0145
10,60,30,0.65,0.09553420011305823,0.0,0.06125,0.0475,0.036
10,60,30,0.7,0.10913140311804007,0.0,0.09275,0.069,0.049
10,60,30,0.8,0.13793103448275862,0.0,0.13825,0.1095,0.07975
10,60,30,1.0,0.2,0.0,0.28875,0.24375,0.19625
10,72,36,0.0,0.0,0.0,0.003,0.002,0.0015
10,72,36,0.5,0.058823529411764705,0.0,0.03475,0.0275,0.02
10,72,36,0.65,0.09553420011305823,0.0,0.07625,0.0575,0.04275
10,72,36,0.7,0.10913140311804007,0.0,0.11725,0.092,0.06775
10,72,36,0.8,0.13793103448275862,0.0,0.17375,0.144,0.1085
10,72,36,1.0,0.2,0.0,0.38575,0.3395,0.2805
10,84,42,0.0,0.0,0.0,0.003,0.00225,0.00175
10,84,42,0.5,0.058823529411764705,0.0,0.0405,0.02975,0.0195
10,84,42,0.65,0.09553420011305823,0.0,0.10775,0.0845,0.0645
10,84,42,0.7,0.10913140311804007,0.0,0.1275,0.10275,0.07725
10,84,42,0.8,0.13793103448275862,0.0,0.221,0.188,0.15075
10,84,42,1.0,0.2,0.0,0.50875,0.455,0.3965
10,100,50,0.0,0.0,0.0,0.00275,0.002,0.00125
10,100,50,0.5,0.058823529411764705,0.0,0.0525,0.038,0.02675
10,100,50,0.65,0.09553420011305823,0.0,0.14225,0.118,0.09925
10,100,50,0.7,0.10913140311804007,0.0,0.184,0.15175,0.1185
10,100,50,0.8,0.13793103448275862,0.0,0.28925,0.25,0.21
10,100,50,1.0,0.2,0.0,0.617,0.56975,0.509
10,120,60,0.0,0.0,0.0,0.00125,0.00075,0.0005
10,120,60,0.5,0.058823529411764705,0.0,0.05575,0.04425,0.03375
10,120,60,0.65,0.09553420011305823,0.0,0.16125,0.1365,0.106
10,120,60,0.7,0.10913140311804007,0.0,0.23625,0.19675,0.1575
10,120,60,0.8,0.13793103448275862,0.0,0.3955,0.3525,0.3025
10,120,60,1.0,0.2,0.0,0.7395,0.701,0.64625
10,160,80,0.0,0.0,0.0,0.0015,0.001,0.00025
10,160,80,0.5,0.058823529411764705,0.0,0.0855,0.07,0.05475
10,160,80,0.65,0.09553420011305823,0.0,0.28,0.24325,0.2035
10,160,80,0.7,0.10913140311804007,0.0,0.36975,0.3325,0.28325
10,160,80,0.8,0.13793103448275862,0.0,0.582,0.5375,0.484
10,160,80,1.0,0.2,0.0,0.9045,0.885,0.85975
10,200,100,0.0,0.0,0.0,0.0005,0.00025,0.00025
10,200,100,0.5,0.058823529411764705,0.0,0.1185,0.1015,0.082
10,200,100,0.65,0.09553420011305823,0.0,0.38675,0.3495,0.301
10,200,100,0.7,0.10913140311804007,0.0,0.50625,0.46825,0.41825
10,200,100,0.8,0.13793103448275862,0.0,0.723,0.69125,0.65425
10,200,100,1.0,0.2,0.0,0.9705,0.963,0.95525
10,240,120,0.0,0.0,0.0,0.00125,0.00075,0.0005
10,240,120,0.5,0.058823529411764705,0.0,0.1595,0.13825,0.11625
10,240,120,0.65,0.09553420011305823,0.0,0.51025,0.472,0.4325
10,240,120,0.7,0.10913140311804007,0.0,0.65175,0.61725,0.57325
10,240,120,0.8,0.13793103448275862,0.0,0.85875,0.8335,0.806
10,240,120,1.0,0.2,0.0,0.992,0.9905,0.98825
10,280,140,0.0,0.0,0.0,0.001,0.00075,0.00025
10,280,140,0.5,0.058823529411764705,0.0,0.2215,0.196,0.1655
10,280,140,0.65,0.09553420011305823,0.0,0.6185,0.579,0.5335
10,280,140,0.7,0.10913140311804007,0.0,0.753,0.7265,0.6865
10,280,140,0.8,0.13793103448275862,0.0,0.92675,0.91225,0.89025
10,280,140,1.0,0.2,0.0,0.99825,0.99725,0.9965
10,320,160,0.0,0.0,0.0,0.0,0.0,0.0
10,320,160,0.5,0.058823529411764705,0.0,0.25725,0.23275,0.2025
10,320,160,0.65,0.09553420011305823,0.0,0.726,0.697,0.65525
10,320,160,0.7,0.10913140311804007,0.0,0.841,0.82075,0.79
10,320,160,0.8,0.13793103448275862,0.0,0.96025,0.95375,0.942
10,320,160,1.0,0.2,0.0,0.9995,0.9995,0.9995
14,40,20,0.0,0.0,0.0,0.00825,0.00525,0.00375
14,40,20,0.5,0.058823529411764705,0.0,0.023,0.01475,0.00825
14,40,20,0.65,0.09553420011305823,0.0,0.031,0.02225,0.014
14,40,20,0.7,0.10913140311804007,0.0,0.03675,0.02725,0.019
