rho,r_parcial,bf_analitico,bf_mcmc
0.0,0.08515806277471347,0.12719656021303713,0.1268840524678315
0.3,-0.3239932293007296,1.9999452370684208,2.3226081475009215
0.0,-0.036401343473429194,0.10857374389315647,0.10464578964681491
0.3,-0.28406913152013524,0.9818386025306435,1.0303012983558582
0.0,-0.05317598320164715,0.11300992655045972,0.11332789735030463
0.3,-0.5773753942080913,5015.6907898789295,15998365690.739132
0.0,-0.1707124265460066,0.23014238128384082,0.2298720910925915
0.3,-0.26689595411124123,0.7478416392153632,0.7170990868460958
0.0,0.14827936625130314,0.18931467633416885,0.19187647116373538
0.3,-0.2537919607329342,0.6155925906635192,0.6175931850510603
0.0,0.07897397659025776,0.12378627052169473,0.12756191714106277
0.3,-0.1985649998380171,0.30548821493611894,0.3183085900304085
0.0,0.0816856844592994,0.12523826840408964,0.1288392541683455
0.3,-0.4318215485094836,25.293281316767946,19.837150054133154
0.0,-0.20607758486200098,0.33235220725739817,0.3325563194562919
0.3,-0.3433906157938942,2.9458588144962987,3.066198991171346
0.0,0.22885524411216698,0.4382232987654095,0.4415443946527482
0.3,-0.2495909110000592,0.5797264417976636,0.5779591649837615
0.0,-0.18219472607022416,0.2572168472594847,0.2572731504285999
0.3,-0.1943299394801666,0.29174777361435195,0.30328744235895594
0.0,-0.15067137576123857,0.1930330727137733,0.21235515140067235
0.3,-0.24644097103444115,0.5546240422331249,0.5374190811067489
0.0,0.23192260495917277,0.45596467775354993,0.4589471476967754
0.3,-0.03902854018924989,0.10914830116855,0.11253375244023647
0.0,-0.07431413333188949,0.1214432919015824,0.12292431451756476
0.3,-0.30127410847602293,1.3158879894094553,1.4715487467799662
0.0,-0.017208049341387005,0.10564054087934792,0.11332829484782252
0.3,-0.3343716062443509,2.451817861459448,2.4257695061635314
0.0,-0.21209783904058027,0.3564512758468374,0.337122640425242
0.3,-0.18989521320727204,0.27834011134756076,0.314485707013905
0.0,-0.09984738890204325,0.13681570645206717,0.13763329154783113
0.3,-0.20242166881849136,0.3188609791446283,0.33289586640312485
0.0,-0.10289193657649023,0.1391038273410023,0.13813377921253103
0.3,-0.22826073238999486,0.4348949239748016,0.46174318820425786
0.0,-0.19003287412064077,0.27874199398822075,0.27037139128640597
0.3,-0.21009401294594635,0.3481568909905443,0.3851193687691786
0.0,-0.15154992027506628,0.1944329362316612,0.20158243104934703
0.3,-0.08631301397274649,0.12787323753216698,0.13412996340455605
0.0,0.07377159245898866,0.12118265318594873,0.11618020602628112
0.3,-0.344353791193718,3.0052759467769548,2.7291733393209245
0.0,-0.02928569692354867,0.10723097499505108,0.1084850306642175
0.3,-0.21591286955319536,0.37304519340766706,0.39316536728321794
0.0,0.18853479768199133,0.27441615253629115,0.2870755701066568
0.3,-0.353321225019295,3.631738853385038,3.7518096174369324
0.0,-0.02632997598571121,0.10676283435984943,0.1083382821794148
0.3,-0.17598948727757904,0.24198056359975012,0.24520662887218445
0.0,0.09534312864036287,0.13362379238441713,0.13275584003505533
0.3,-0.3786904837842234,6.422295755750303,5.784519651450786
0.0,-0.2630173429438403,0.7051570056172362,0.739048553874731
0.3,-0.25385824314418215,0.6161815223768589,0.6722626434208129
0.0,-0.12863759275676293,0.16335479079824936,0.16537786519685188
0.3,-0.3762066833786869,6.059711605704931,6.883968598707718
0.0,-0.10947615741834366,0.1444352300987048,0.1537805699583656
0.3,-0.23054781601615362,0.44789334517921975,0.43178106703536856
0.0,-0.03919236274893551,0.10918556257078398,0.11272676784057208
0.3,-0.3285776349551381,2.186103479841258,2.429675272332222
0.0,0.038889282876029566,0.10911676016665493,0.1110211264034452
0.3,-0.22226352584288298,0.40319574949709885,0.42012720600945586
0.0,-0.01922107938357015,0.10584684462673356,0.10781591917829408
0.3,-0.39725367713222737,10.079255426861804,12.23481824179559
0.0,-0.06312035067887065,0.11655204700708745,0.11971840530794958
0.3,-0.2308185142543745,0.44946702964125484,0.47552167003600615
0.0,0.1452145565520213,0.18474262994529655,0.19898002788302105
0.3,-0.2587976224375105,0.6622223545183243,0.6403161526804875
0.0,-0.07596175443191204,0.12225018580881519,0.1302973444188533
0.3,-0.4114447828094454,14.513893959515501,11.432537302047894
0.0,-0.036051983036168814,0.10850058147871094,0.11033876789933401
0.3,-0.5507199790147115,1554.1017230616292,3795333.8893943736
0.0,0.23820969119715185,0.495517532653884,0.5089184097941882
0.3,-0.31605274202082456,1.720474488942912,1.7346367431164016
0.0,0.12055299911130267,0.15470235962058956,0.15356381148829418
0.3,-0.1789207734217278,0.24899216485790607,0.2730325575818939
0.0,-0.2073389927438271,0.3372015057585947,0.3808515327284551
0.3,-0.031128520375447298,0.10754924204655619,0.11092955615171562
0.0,0.09125409830204877,0.13091632809673742,0.13823377224618838
0.3,-0.09401386971550087,0.13272427170900652,0.13040774983211456
0.0,-0.004655638204620857,0.10487216183294189,0.10880162173918405
0.3,0.0048583959582545935,0.1048775424637898,0.10267244628291103
0.0,0.10310975723480385,0.13927170432824298,0.13523262115217774
0.3,-0.4807214898185116,113.23130842601113,445.7996890417343
