n,rho_verdadero,beta_verdadero,beta_post_medio,beta_post_sd_entre_datasets,shrinkage,CrI_lo_mediano,CrI_hi_mediano,CrI_ancho_mediano,cobertura_95,P_CrI_excluye_0,P_selecciona_verdadero,beta_max_abs_medio
60,0.3,0.3,0.19151380307217605,0.11017516760660646,0.6383793435739202,-0.020220816205255687,0.4153522111475468,0.43001839220523835,0.8183333333333334,0.3641666666666667,0.5541666666666667,0.2278774592997837
60,0.4,0.4,0.28038646733386957,0.12744970174836764,0.7009661683346738,0.03839547955431044,0.5106925241649152,0.4510983294807376,0.7858333333333334,0.6525,0.7933333333333333,0.29427247292455444
60,0.5,0.5,0.3849281113631814,0.12724614270479803,0.7698562227263628,0.15028813015669584,0.614496073871851,0.4526649952400476,0.795,0.9058333333333334,0.9516666666666667,0.3873614187759254
72,0.3,0.3,0.19198800554773635,0.10416920149544136,0.6399600184924545,-0.009222251025494187,0.3981192480772734,0.40233577837934725,0.7858333333333334,0.44916666666666666,0.6158333333333333,0.218584071996002
72,0.4,0.4,0.29414284185610284,0.11578855513269447,0.735357104640257,0.07225251207128167,0.506567993015051,0.4189063785132021,0.805,0.785,0.8716666666666667,0.3009183067367009
100,0.3,0.3,0.20488050774257932,0.0961106297300858,0.6829350258085978,0.014665200992021711,0.3853539407253266,0.3541862873989885,0.7933333333333333,0.5983333333333334,0.7591666666666667,0.21665841061622207
134,0.3,0.3,0.2135880757806189,0.08394050058066889,0.711960252602063,0.04833291359245777,0.371607343107462,0.31565968114882725,0.7808333333333334,0.7566666666666667,0.8791666666666667,0.21805566258409187
141,0.3,0.3,0.2128072060295233,0.08485095531433068,0.7093573534317443,0.04960044631734491,0.36557760313153276,0.30688332738354807,0.7775,0.7766666666666666,0.9033333333333333,0.2171266432305555
