K,n_true,n,rho,umbral_bf,p_any,p_true
20,1,160,0.5,6,0.99975,0.99975
20,1,160,0.5,10,0.99975,0.99975
5,1,40,0.0,4,0.04075,
5,1,40,0.0,6,0.02625,
5,1,40,0.0,10,0.015,
5,1,40,0.3,4,0.214,0.18825
5,1,40,0.3,6,0.161,0.14425
5,1,40,0.3,10,0.1215,0.11175
5,1,40,0.4,4,0.4185,0.40275
5,1,40,0.4,6,0.35325,0.34225
5,1,40,0.4,10,0.2795,0.27225
5,1,50,0.0,4,0.033,
5,1,50,0.0,6,0.0235,
5,1,50,0.0,10,0.0145,
5,1,50,0.3,4,0.273,0.25525
5,1,50,0.3,6,0.2215,0.20925
5,1,50,0.3,10,0.16625,0.15775
5,1,50,0.4,4,0.5415,0.528
5,1,50,0.4,6,0.47975,0.469
5,1,50,0.4,10,0.4125,0.407
5,1,60,0.0,4,0.0325,
5,1,60,0.0,6,0.02175,
5,1,60,0.0,10,0.0135,
5,1,60,0.3,4,0.33875,0.321
5,1,60,0.3,6,0.28,0.268
5,1,60,0.3,10,0.2255,0.22025
5,1,60,0.4,4,0.657,0.649
5,1,60,0.4,6,0.59925,0.5935
5,1,60,0.4,10,0.52325,0.51925
5,1,72,0.0,4,0.02475,
5,1,72,0.0,6,0.015,
5,1,72,0.0,10,0.0095,
5,1,72,0.3,4,0.4165,0.40075
5,1,72,0.3,6,0.35425,0.3435
5,1,72,0.3,10,0.29075,0.284
5,1,72,0.4,4,0.74325,0.736
5,1,72,0.4,6,0.69275,0.687
5,1,72,0.4,10,0.624,0.6205
5,1,85,0.0,4,0.028,
5,1,85,0.0,6,0.01875,
5,1,85,0.0,10,0.01275,
5,1,85,0.3,4,0.48775,0.47375
5,1,85,0.3,6,0.4285,0.4175
5,1,85,0.3,10,0.35225,0.34525
5,1,85,0.4,4,0.83925,0.83625
5,1,85,0.4,6,0.798,0.7955
5,1,85,0.4,10,0.7445,0.743
5,1,100,0.0,4,0.02525,
5,1,100,0.0,6,0.0165,
5,1,100,0.0,10,0.00825,
5,1,100,0.3,4,0.57425,0.56525
5,1,100,0.3,6,0.51775,0.511
5,1,100,0.3,10,0.445,0.439
5,1,100,0.4,4,0.90025,0.8975
5,1,100,0.4,6,0.87525,0.87375
5,1,100,0.4,10,0.8325,0.83125
5,1,120,0.0,4,0.02675,
5,1,120,0.0,6,0.01825,
5,1,120,0.0,10,0.01025,
5,1,120,0.3,4,0.67825,0.67125
5,1,120,0.3,6,0.623,0.61825
5,1,120,0.3,10,0.556,0.5535
5,1,120,0.4,4,0.94825,0.94775
