K,N,R2,r2hat_medio,power_bf4,power_bf6,power_bf10
14,60,0.25,0.4206090834029095,0.341,0.29575,0.23825
14,72,0.0,0.19610153874389769,0.00325,0.002,0.00175
14,72,0.04,0.2272829253460356,0.0145,0.01125,0.008
14,72,0.09,0.2694034800113875,0.05725,0.04425,0.03275
14,72,0.16,0.3204921924145404,0.16925,0.14475,0.1095
14,72,0.25,0.3933537863701159,0.45275,0.40775,0.35175
14,100,0.0,0.13929535773010132,0.00175,0.00125,0.00075
14,100,0.04,0.1753682699680426,0.01575,0.0125,0.008
14,100,0.09,0.21661056815818472,0.082,0.068,0.0505
14,100,0.16,0.2771006389724525,0.2985,0.2605,0.219
14,100,0.25,0.35051858053839785,0.6705,0.63175,0.58525
14,150,0.0,0.09484035270749408,0.001,0.00075,0.0005
14,150,0.04,0.13046665431892412,0.026,0.0205,0.01375
14,150,0.09,0.17504270262355845,0.15375,0.13125,0.11075
14,150,0.16,0.23769678863169452,0.542,0.50675,0.4625
14,150,0.25,0.31856991666534135,0.92625,0.91175,0.8925
14,200,0.0,0.07013597804078023,0.0,0.0,0.0
14,200,0.04,0.10726818912509532,0.02925,0.02425,0.0185
14,200,0.09,0.15329920446560885,0.2385,0.21275,0.18375
14,200,0.16,0.21691293495326738,0.7345,0.7,0.6625
14,200,0.25,0.30065346974610485,0.984,0.9815,0.97725
14,250,0.0,0.055990493835124736,0.00025,0.00025,0.00025
14,250,0.04,0.09398948774363373,0.03875,0.03325,0.0245
14,250,0.09,0.14036501477978033,0.34425,0.317,0.277
14,250,0.16,0.20686946601874676,0.885,0.86825,0.84925
14,250,0.25,0.2899011066285632,0.9985,0.99775,0.99725
14,300,0.0,0.0471785265630852,0.0,0.0,0.0
14,300,0.04,0.08523895301947762,0.05125,0.04375,0.0345
14,300,0.09,0.13177822713890475,0.466,0.434,0.39525
14,300,0.16,0.19900700304571065,0.95425,0.946,0.93225
14,300,0.25,0.2840458092259772,0.99975,0.99975,0.99975
20,50,0.0,0.40939380254049795,0.005,0.00375,0.00225
20,50,0.04,0.433399850287665,0.012,0.0085,0.0055
20,50,0.09,0.4588915614065769,0.02625,0.01875,0.0115
20,50,0.16,0.496299251220281,0.05525,0.04425,0.031
20,50,0.25,0.5520927022917065,0.15175,0.11975,0.09125
20,60,0.0,0.34030837594813,0.0045,0.003,0.0015
20,60,0.04,0.3630169771260784,0.00675,0.005,0.00275
20,60,0.09,0.3969953027751882,0.02925,0.02075,0.01425
20,60,0.16,0.44276564333818624,0.077,0.062,0.0475
20,60,0.25,0.49679635826892427,0.20375,0.1715,0.13525
20,72,0.0,0.2799749489169636,0.00225,0.0015,0.00125
20,72,0.04,0.3115369204122453,0.009,0.00675,0.0045
20,72,0.09,0.34392645237622615,0.02925,0.02275,0.016
20,72,0.16,0.39390344857206666,0.09775,0.082,0.061
20,72,0.25,0.4546799941673419,0.28025,0.24075,0.203
20,100,0.0,0.2022069653046202,0.00175,0.00125,0.00075
20,100,0.04,0.23463418198628366,0.00725,0.00475,0.0035
20,100,0.09,0.27058535830250796,0.03925,0.03025,0.02325
20,100,0.16,0.3239393827632001,0.15825,0.1365,0.10825
20,100,0.25,0.3963373255832,0.49325,0.45575,0.39975
20,150,0.0,0.1343089427190714,0.00025,0.0,0.0
20,150,0.04,0.1693386674466408,0.0095,0.00775,0.00575
20,150,0.09,0.2107356754827786,0.0705,0.06025,0.04475
20,150,0.16,0.2703970234430226,0.3545,0.32075,0.2835
20,150,0.25,0.34857728788152703,0.8115,0.7815,0.7525
20,200,0.0,0.10046327560586395,0.0005,0.00025,0.00025
20,200,0.04,0.1362720204849943,0.01075,0.00925,0.0065
20,200,0.09,0.18112605584402947,0.1245,0.10875,0.08875
20,200,0.16,0.24225791824117093,0.54475,0.51175,0.4735
20,200,0.25,0.32215814816182137,0.94625,0.93675,0.9225
20,250,0.0,0.0799013833487993,0.0,0.0,0.0
20,250,0.04,0.11709067558134717,0.01325,0.012,0.0095
20,250,0.09,0.16169534351000164,0.192,0.17075,0.146
20,250,0.16,0.22649422060239607,0.73675,0.71125,0.68
20,250,0.25,0.3074751842848376,0.9895,0.9845,0.98125
20,300,0.0,0.06674248999443327,0.0,0.0,0.0
20,300,0.04,0.10363786368343046,0.018,0.01575,0.0105
20,300,0.09,0.14971144885325835,0.26025,0.23425,0.2075
20,300,0.16,0.21579815235196897,0.865,0.84825,0.829
20,300,0.25,0.2980749024449415,0.99725,0.99675,0.99675
