eigenvalue
37.426125
4.721703
2.838808
1.870084
1.596235
1.440629
1.183295
1.036117
0.935287
0.795933
0.730522
0.615528
0.545094
0.537369
0.472567
0.441743
0.410465
0.390126
0.370897
0.333032
