pm25_ugm3,z_exposicion,comuna
18.3191,-1.9368681514700503,colina
23.2326,-0.42571794049322204,macul
27.853,0.995289169468584,la florida
25.9176,0.4000556051408026,independencia
23.2401,-0.4234113104774844,san joaquin
24.4008,-0.0664372492419494,puente alto
24.1646,-0.13908071720424245,san ramon
23.996,-0.1909337599580219,recoleta
23.996,-0.1909337599580219,recoleta
26.5811,0.6041154738663798,maipu
23.6134,-0.3086026458275109,nunoa
24.4008,-0.0664372492419494,puente alto
28.6975,1.2550157092406264,pudahuel
27.5064,0.8886921076746344,santiago
29.6124,1.536393816093725,cerro navia
29.6124,1.536393816093725,cerro navia
26.5811,0.6041154738663798,maipu
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
23.2326,-0.42571794049322204,macul
27.5064,0.8886921076746344,santiago
26.5811,0.6041154738663798,maipu
24.4008,-0.0664372492419494,puente alto
21.5776,-0.9347142972992973,las condes
18.3191,-1.9368681514700503,colina
23.6134,-0.3086026458275109,nunoa
17.4036,-2.2184307887244072,lo barnechea
23.6134,-0.3086026458275109,nunoa
23.8014,-0.25078312009969017,providencia
25.7723,0.35536849296924844,quilicura
23.8014,-0.25078312009969017,providencia
28.6975,1.2550157092406264,pudahuel
23.1636,-0.4469389366380078,penalolen
27.135,0.774467789295314,conchali
27.5064,0.8886921076746344,santiago
23.8014,-0.25078312009969017,providencia
24.1703,-0.13732767839228166,vitacura
27.3217,0.8318874991537389,san bernardo
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
28.6724,1.2472961874546244,la cisterna
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
24.1703,-0.13732767839228166,vitacura
23.1617,-0.44752328290866106,la reina
24.1703,-0.13732767839228166,vitacura
32.879,2.541038830681473,puerto varas
27.5064,0.8886921076746344,santiago
18.3191,-1.9368681514700503,colina
23.996,-0.1909337599580219,recoleta
24.4008,-0.0664372492419494,puente alto
27.5064,0.8886921076746344,santiago
12.1227,-3.842575115405496,san esteban
26.5811,0.6041154738663798,maipu
27.6707,0.939222682552724,san miguel
27.5064,0.8886921076746344,santiago
15.2199,-2.8900291841065378,vina del mar
28.6975,1.2550157092406264,pudahuel
28.6975,1.2550157092406264,pudahuel
25.7723,0.35536849296924844,quilicura
23.6134,-0.3086026458275109,nunoa
28.3748,1.1557691084301607,lo prado
24.4008,-0.0664372492419494,puente alto
21.5776,-0.9347142972992973,las condes
23.6134,-0.3086026458275109,nunoa
27.853,0.995289169468584,la florida
17.4036,-2.2184307887244072,lo barnechea
23.6134,-0.3086026458275109,nunoa
21.5776,-0.9347142972992973,las condes
23.7235,-0.27474131719648354,huechuraba
23.6134,-0.3086026458275109,nunoa
23.6134,-0.3086026458275109,nunoa
23.2326,-0.42571794049322204,macul
23.1617,-0.44752328290866106,la reina
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
27.5064,0.8886921076746344,santiago
23.6134,-0.3086026458275109,nunoa
23.1636,-0.4469389366380078,penalolen
27.6707,0.939222682552724,san miguel
27.6707,0.939222682552724,san miguel
27.3217,0.8318874991537389,san bernardo
27.3217,0.8318874991537389,san bernardo
23.8014,-0.25078312009969017,providencia
27.3217,0.8318874991537389,san bernardo
24.1703,-0.13732767839228166,vitacura
26.5811,0.6041154738663798,maipu
23.8014,-0.25078312009969017,providencia
24.4008,-0.0664372492419494,puente alto
24.1703,-0.13732767839228166,vitacura
27.5064,0.8886921076746344,santiago
23.1636,-0.4469389366380078,penalolen
23.1636,-0.4469389366380078,penalolen
23.7235,-0.27474131719648354,huechuraba
24.4008,-0.0664372492419494,puente alto
24.1646,-0.13908071720424245,san ramon
23.1636,-0.4469389366380078,penalolen
27.853,0.995289169468584,la florida
27.5064,0.8886921076746344,santiago
23.1636,-0.4469389366380078,penalolen
23.1636,-0.4469389366380078,penalolen
25.7723,0.35536849296924844,quilicura
28.8963,1.316156782191108,rancagua
27.5064,0.8886921076746344,santiago
23.8014,-0.25078312009969017,providencia
23.6134,-0.3086026458275109,nunoa
23.6134,-0.3086026458275109,nunoa
23.2326,-0.42571794049322204,macul
21.5776,-0.9347142972992973,las condes
23.6134,-0.3086026458275109,nunoa
27.751,0.9639190012545539,cerrillos
21.5776,-0.9347142972992973,las condes
27.3217,0.8318874991537389,san bernardo
21.5776,-0.9347142972992973,las condes
27.751,0.9639190012545539,cerrillos
29.6124,1.536393816093725,cerro navia
23.6134,-0.3086026458275109,nunoa
27.5064,0.8886921076746344,santiago
24.4008,-0.0664372492419494,puente alto
17.4036,-2.2184307887244072,lo barnechea
24.4008,-0.0664372492419494,puente alto
21.5776,-0.9347142972992973,las condes
17.4036,-2.2184307887244072,lo barnechea
25.4963,0.2704845083901085,la pintana
28.1892,1.0986877043073764,estacion central
27.5064,0.8886921076746344,santiago
27.5064,0.8886921076746344,santiago
24.1703,-0.13732767839228166,vitacura
23.6134,-0.3086026458275109,nunoa
23.8014,-0.25078312009969017,providencia
24.1703,-0.13732767839228166,vitacura
23.8014,-0.25078312009969017,providencia
23.1636,-0.4469389366380078,penalolen
23.1636,-0.4469389366380078,penalolen
23.6134,-0.3086026458275109,nunoa
27.853,0.995289169468584,la florida
26.5811,0.6041154738663798,maipu
23.8014,-0.25078312009969017,providencia
29.7306,1.5727463051417472,el bosque
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
28.3748,1.1557691084301607,lo prado
27.5064,0.8886921076746344,santiago
23.2326,-0.42571794049322204,macul
21.5776,-0.9347142972992973,las condes
17.4036,-2.2184307887244072,lo barnechea
17.4036,-2.2184307887244072,lo barnechea
17.4036,-2.2184307887244072,lo barnechea
17.4036,-2.2184307887244072,lo barnechea
23.6134,-0.3086026458275109,nunoa
23.8014,-0.25078312009969017,providencia
25.7723,0.35536849296924844,quilicura
27.5064,0.8886921076746344,santiago
23.7235,-0.27474131719648354,huechuraba
29.6124,1.536393816093725,cerro navia
22.3539,-0.6959627131370282,lampa
21.5776,-0.9347142972992973,las condes
24.1646,-0.13908071720424245,san ramon
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
29.6124,1.536393816093725,cerro navia
23.8014,-0.25078312009969017,providencia
27.6707,0.939222682552724,san miguel
27.853,0.995289169468584,la florida
23.6134,-0.3086026458275109,nunoa
23.1636,-0.4469389366380078,penalolen
27.5064,0.8886921076746344,santiago
26.5811,0.6041154738663798,maipu
18.3191,-1.9368681514700503,colina
17.4036,-2.2184307887244072,lo barnechea
27.5064,0.8886921076746344,santiago
23.6134,-0.3086026458275109,nunoa
27.5064,0.8886921076746344,santiago
27.5064,0.8886921076746344,santiago
23.2326,-0.42571794049322204,macul
23.6134,-0.3086026458275109,nunoa
20.7442,-1.1910270246480488,los andes
23.996,-0.1909337599580219,recoleta
21.5776,-0.9347142972992973,las condes
23.6134,-0.3086026458275109,nunoa
24.1703,-0.13732767839228166,vitacura
27.5064,0.8886921076746344,santiago
21.5776,-0.9347142972992973,las condes
25.7723,0.35536849296924844,quilicura
23.1617,-0.44752328290866106,la reina
24.2315,-0.11850557746386382,la granja
20.7442,-1.1910270246480488,los andes
28.405,1.165057138626864,pedro aguirre cerda
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
27.6707,0.939222682552724,san miguel
27.5064,0.8886921076746344,santiago
28.1892,1.0986877043073764,estacion central
17.4036,-2.2184307887244072,lo barnechea
23.6134,-0.3086026458275109,nunoa
24.1703,-0.13732767839228166,vitacura
27.3217,0.8318874991537389,san bernardo
27.751,0.9639190012545539,cerrillos
17.4036,-2.2184307887244072,lo barnechea
24.1703,-0.13732767839228166,vitacura
28.3502,1.148203361978542,quinta normal
21.5776,-0.9347142972992973,las condes
22.3539,-0.6959627131370282,lampa
27.3217,0.8318874991537389,san bernardo
25.4963,0.2704845083901085,la pintana
23.2326,-0.42571794049322204,macul
23.1617,-0.44752328290866106,la reina
21.5776,-0.9347142972992973,las condes
24.4008,-0.0664372492419494,puente alto
25.9827,0.4200771536774044,buin
27.853,0.995289169468584,la florida
29.7306,1.5727463051417472,el bosque
23.996,-0.1909337599580219,recoleta
24.1646,-0.13908071720424245,san ramon
21.5776,-0.9347142972992973,las condes
27.853,0.995289169468584,la florida
27.853,0.995289169468584,la florida
23.8014,-0.25078312009969017,providencia
26.5811,0.6041154738663798,maipu
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
25.7723,0.35536849296924844,quilicura
28.1892,1.0986877043073764,estacion central
24.2315,-0.11850557746386382,la granja
23.8014,-0.25078312009969017,providencia
27.5064,0.8886921076746344,santiago
23.6134,-0.3086026458275109,nunoa
28.6975,1.2550157092406264,pudahuel
26.5811,0.6041154738663798,maipu
22.1531,-0.7577188874250405,penaflor
4.6474,-6.1416086296245,punta arenas
27.3217,0.8318874991537389,san bernardo
27.5064,0.8886921076746344,santiago
27.3217,0.8318874991537389,san bernardo
28.6975,1.2550157092406264,pudahuel
23.1636,-0.4469389366380078,penalolen
27.5064,0.8886921076746344,santiago
26.5811,0.6041154738663798,maipu
23.6134,-0.3086026458275109,nunoa
27.7965,0.9779125566833615,renca
27.853,0.995289169468584,la florida
27.135,0.774467789295314,conchali
21.5776,-0.9347142972992973,las condes
17.4036,-2.2184307887244072,lo barnechea
23.6134,-0.3086026458275109,nunoa
23.2401,-0.4234113104774844,san joaquin
23.6134,-0.3086026458275109,nunoa
27.5064,0.8886921076746344,santiago
13.3534,-3.4640725073564105,olmue
27.853,0.995289169468584,la florida
13.2448,-3.4974725099842896,san felipe
23.6134,-0.3086026458275109,nunoa
23.8014,-0.25078312009969017,providencia
27.853,0.995289169468584,la florida
27.5064,0.8886921076746344,santiago
21.5776,-0.9347142972992973,las condes
22.3539,-0.6959627131370282,lampa
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
27.853,0.995289169468584,la florida
27.5064,0.8886921076746344,santiago
27.853,0.995289169468584,la florida
21.5776,-0.9347142972992973,las condes
23.6134,-0.3086026458275109,nunoa
21.5776,-0.9347142972992973,las condes
21.5776,-0.9347142972992973,las condes
24.4008,-0.0664372492419494,puente alto
23.7235,-0.27474131719648354,huechuraba
23.7235,-0.27474131719648354,huechuraba
24.2315,-0.11850557746386382,la granja
21.5776,-0.9347142972992973,las condes
17.4036,-2.2184307887244072,lo barnechea
28.6975,1.2550157092406264,pudahuel
27.5064,0.8886921076746344,santiago
23.8014,-0.25078312009969017,providencia
28.405,1.165057138626864,pedro aguirre cerda
24.4008,-0.0664372492419494,puente alto
26.5811,0.6041154738663798,maipu
29.6124,1.536393816093725,cerro navia
28.6975,1.2550157092406264,pudahuel
28.6724,1.2472961874546244,la cisterna
28.6724,1.2472961874546244,la cisterna
27.5064,0.8886921076746344,santiago
27.5064,0.8886921076746344,santiago
27.5064,0.8886921076746344,santiago
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
25.7723,0.35536849296924844,quilicura
23.6134,-0.3086026458275109,nunoa
23.1617,-0.44752328290866106,la reina
27.5064,0.8886921076746344,santiago
27.3217,0.8318874991537389,san bernardo
24.4008,-0.0664372492419494,puente alto
27.6707,0.939222682552724,san miguel
28.1892,1.0986877043073764,estacion central
23.1636,-0.4469389366380078,penalolen
23.1636,-0.4469389366380078,penalolen
21.5776,-0.9347142972992973,las condes
28.405,1.165057138626864,pedro aguirre cerda
14.4373,-3.1307183374820267,concepcion
28.1892,1.0986877043073764,estacion central
21.5776,-0.9347142972992973,las condes
23.6134,-0.3086026458275109,nunoa
27.853,0.995289169468584,la florida
17.4036,-2.2184307887244072,lo barnechea
27.5064,0.8886921076746344,santiago
17.4036,-2.2184307887244072,lo barnechea
24.1703,-0.13732767839228166,vitacura
27.5064,0.8886921076746344,santiago
27.5064,0.8886921076746344,santiago
25.7723,0.35536849296924844,quilicura
23.1636,-0.4469389366380078,penalolen
18.0213,-2.028456740628267,curacavi
24.1703,-0.13732767839228166,vitacura
21.5776,-0.9347142972992973,las condes
27.853,0.995289169468584,la florida
23.8014,-0.25078312009969017,providencia
24.4008,-0.0664372492419494,puente alto
21.5776,-0.9347142972992973,las condes
27.5064,0.8886921076746344,santiago
27.5064,0.8886921076746344,santiago
23.2326,-0.42571794049322204,macul
17.4036,-2.2184307887244072,lo barnechea
21.5776,-0.9347142972992973,las condes
28.8963,1.316156782191108,rancagua
22.1531,-0.7577188874250405,penaflor
21.5776,-0.9347142972992973,las condes
27.853,0.995289169468584,la florida
21.5776,-0.9347142972992973,las condes
27.853,0.995289169468584,la florida
28.3748,1.1557691084301607,lo prado
28.6975,1.2550157092406264,pudahuel
23.6134,-0.3086026458275109,nunoa
16.7586,-2.416800970077832,quilpue
24.4008,-0.0664372492419494,puente alto
23.1617,-0.44752328290866106,la reina
23.6134,-0.3086026458275109,nunoa
26.5811,0.6041154738663798,maipu
23.6134,-0.3086026458275109,nunoa
29.6124,1.536393816093725,cerro navia
29.6124,1.536393816093725,cerro navia
